"","predicted","observed"
"483",712,712
"484",172,172
"485",712,712
"486",172,712
"487",172,172
"488",172,172
"489",172,172
"490",172,172
"491",172,172
"492",712,172
"493",172,172
"494",172,712
"495",172,172
"496",172,172
"497",172,172
"498",172,172
"499",712,712
"500",172,172
"501",712,712
"502",712,712
"503",712,712
"504",712,712
"505",777,777
"506",777,777
"507",111,111
"508",777,777
"509",111,111
"510",112,112
"511",777,777
"512",112,112
"513",112,112
"514",777,777
"515",777,112
"516",111,111
"517",777,777
"518",112,112
"519",777,777
"520",777,777
"521",777,777
"522",777,777
"523",777,777
"524",112,112
"525",777,112
"526",111,111
"527",111,111
"528",112,112
"529",111,111
"530",111,111
"531",111,111
"532",777,777
"533",777,777
"534",777,777
"535",111,111
"536",777,777
"537",777,777
"538",111,111
"539",777,777
"540",112,112
"541",111,111
"542",777,777
"543",111,111
"544",112,112
"545",112,112
"546",111,111
"547",112,112
"548",111,111
"549",777,777
"550",777,777
"551",777,777
"552",112,112
"553",777,777
"554",777,777
"555",111,171
"556",777,777
"557",111,777
"558",777,777
"559",777,777
"560",777,777
"561",112,112
"562",112,112
"563",777,777
"564",777,777
"565",111,111
"566",777,777
"567",777,777
"568",112,112
"569",111,111
"570",777,112
"571",112,112
"572",112,112
"573",777,777
"574",111,111
"575",111,111
"576",777,172
"577",111,111
"578",777,777
"579",777,777
"580",111,111
"581",777,777
"582",777,777
"583",112,112
"584",111,111
"585",777,777
"586",777,777
"587",777,777
"588",112,112
"589",112,112
"590",111,111
"591",112,112
"592",112,112
"593",112,112
"594",112,112
"595",777,171
"596",111,111
"597",777,777
"598",777,777
"599",777,777
"600",112,712
"601",777,712
"602",112,112
"603",777,777
"604",777,172
"605",777,777
"606",112,112
"607",777,777
"608",111,111
"609",777,777
"610",777,777
"611",777,777
"612",777,112
"613",112,112
"614",112,112
"615",111,111
"616",112,112
"617",777,172
"618",111,111
"619",111,111
"620",777,777
"621",777,777
"622",777,777
"623",112,112
"624",777,777
"625",111,111
"626",777,777
"627",111,111
"628",777,777
"629",777,777
"630",111,111
"631",111,111
"632",112,112
"633",777,171
"634",111,111
"635",777,712
"636",777,171
"637",111,111
"638",112,112
"639",112,112
"640",111,111
"641",777,112
"642",777,777
"643",111,111
"644",777,777
"645",112,112
"646",112,112
"647",112,112
"648",111,111
"649",777,777
"650",777,777
"651",112,112
"652",777,777
"653",112,112
"654",777,777
"655",777,777
"656",777,777
"657",112,112
"658",777,711
"659",111,111
"660",777,777
"661",111,111
"662",112,112
"663",777,777
"664",112,112
"665",777,712
"666",111,111
"667",111,111
"668",111,111
"669",111,111
"670",777,777
"671",777,777
"672",777,777
"673",112,112
"674",777,777
"675",777,777
"676",111,111
"677",112,112
"678",777,777
"679",777,777
"680",111,111
"681",777,777
"682",112,112
"683",112,112
"684",111,111
"685",111,111
"686",777,777
"687",777,777
"688",111,711
"689",777,777
"690",777,777
"691",777,777
"692",112,112
"693",112,777
"694",777,171
"695",777,777
"696",777,777
"697",777,777
"698",777,777
"699",111,111
"700",112,112
"701",111,111
"702",777,112
"703",111,111
"704",777,777
"705",111,777
"706",777,777
"707",112,112
"708",777,777
"709",112,112
"710",777,777
"711",777,777
"712",777,777
"713",112,112
"714",112,112
"715",111,111
"716",112,112
"717",111,111
"718",112,112
"719",111,711
"720",111,111
"721",777,777
"722",777,777
"723",777,711
"724",777,777
"725",111,111
"726",112,112
"727",112,112
"728",112,112
"729",111,111
"730",111,111
"731",112,112
"732",112,112
"733",112,112
"734",112,112
"735",112,112
"736",111,111
"737",111,111
"738",112,112
"739",111,111
"740",112,112
"741",112,112
"742",111,111
"743",112,112
"744",111,111
"745",112,112
"746",111,111
"747",111,711
"748",111,711
"749",111,777
"750",777,777
"751",777,712
"752",777,777
"753",777,777
"754",777,777
"755",777,777
"756",777,777
"757",777,777
"758",777,777
"759",777,777
"760",777,777
"761",777,777
"762",777,777
"763",777,777
"764",777,777
"765",777,777
"766",777,777
"767",777,777
"768",777,777
"769",777,777
"770",777,777
"771",111,171
"772",777,777
"773",777,777
"774",111,111
"775",777,777
"776",112,112
"777",777,777
"778",112,112
"779",111,171
"780",112,112
"781",112,112
"782",111,171
"783",777,777
"784",777,777
"785",111,111
"786",111,171
"787",112,112
"788",777,777
"789",112,172
"790",777,777
"791",777,777
"792",112,172
"793",111,171
"794",112,112
"795",777,777
"796",777,777
"797",111,111
"798",112,112
"799",111,111
"800",777,777
"801",777,777
"802",777,777
"803",777,777
"804",777,777
"805",112,172
"806",112,112
"807",777,777
"808",777,777
"809",111,171
"810",777,777
"811",777,777
"812",111,111
"813",111,171
"814",777,777
"815",112,112
"816",777,777
"817",112,112
"818",111,111
"819",111,111
"820",111,111
"821",112,112
"822",777,172
"823",777,777
"824",777,777
